7.1	19.8	29.6	24.7
4.8	20.4	29.3	24.4
4.8	20.0	30.2	24.3
0.0	18.0	30.0	24.4
17.0	17.3	29.4	24.6
23.6	13.2	30.0	24.6
68.3	8.9	28.3	24.9
58.9	7.5	28.6	24.6
19.8	12.7	29.2	24.4
11.7	8.8	29.5	25.2
2.3	16.1	29.8	25.2
0.0	18.0	30.1	24.6
0.0	20.3	29.9	24.8
0.8	19.9	29.5	24.7
0.0	20.3	29.5	24.2
5.3	17.4	30.0	23.9
11.9	13.8	29.1	24.1
0.0	16.6	29.8	24.1
0.0	20.1	30.1	24.5
0.0	17.7	28.8	24.5
0.0	17.7	29.2	24.1
0.0	16.0	28.8	24.1
0.0	20.1	29.1	24.0
0.0	21.4	29.4	23.7
0.0	22.8	29.9	23.4
0.0	21.1	29.6	24.5
0.0	18.3	29.8	24.6
2.3	20.0	29.7	24.5
9.9	12.5	29.3	24.2
1.3	18.6	29.7	24.0
0.0	19.7	30.2	24.2
0.0	13.1	30.2	24.7
0.0	16.8	30.2	24.7
0.0	13.2	29.6	24.8
0.0	17.1	30.1	24.5
0.0	13.6	30.4	24.8
0.0	20.2	31.2	25.3
0.0	21.2	31.1	25.4
0.0	18.9	31.8	25.3
0.0	19.6	32.3	25.6
0.0	18.9	31.5	25.9
0.0	20.6	30.7	25.9
0.0	20.1	30.6	25.4
1.5	14.9	30.5	25.5
0.0	20.2	30.3	25.4
4.8	21.7	30.2	25.6
1.3	20.7	29.9	24.8
9.7	19.5	30.3	24.9
1.8	22.6	30.6	25.3
0.0	22.4	30.0	25.5
5.3	20.7	30.0	24.7
9.2	21.1	29.8	24.8
0.0	20.8	29.5	24.3
0.0	20.6	29.6	23.7
4.8	20.9	29.9	23.7
0.0	18.8	30.5	24.4
0.0	21.0	30.4	24.2
0.0	16.7	30.3	24.4
13.9	22.5	30.4	24.3
0.0	21.9	31.0	24.6
0.0	18.6	30.3	25.5
0.0	18.4	30.6	25.2
3.3	18.3	30.3	25.3
0.0	19.9	30.7	25.6
0.0	20.0	30.7	25.7
0.0	19.1	30.7	25.3
0.0	16.0	30.6	25.6
0.0	21.8	30.9	25.2
0.0	19.6	30.3	25.0
0.0	16.7	30.0	24.2
0.0	19.7	30.2	24.6
7.1	17.9	31.0	24.8
3.3	23.0	30.4	25.2
0.0	22.6	30.4	24.4
0.0	19.8	30.9	24.0
0.0	16.2	30.4	25.2
0.0	18.9	30.8	25.1
0.0	13.9	30.2	24.8
2.0	20.3	30.7	24.4
0.0	19.2	30.5	25.3
0.0	23.5	31.0	25.1
17.5	21.0	30.2	24.6
0.0	17.1	29.9	24.3
0.0	17.7	30.3	24.8
2.5	17.0	30.3	24.6
0.0	17.3	30.1	24.4
0.0	21.1	30.5	24.6
2.8	16.4	30.8	25.3
1.5	16.5	31.4	25.3
0.0	11.6	31.1	25.7
2.0	12.2	29.3	25.8
0.0	18.7	32.5	26.2
0.0	18.9	32.2	26.0
0.0	17.0	30.6	25.8
22.4	14.8	31.1	25.4
0.0	18.0	31.7	25.8
8.6	18.6	31.8	26.5
16.0	13.0	30.9	25.8
0.0	16.3	30.0	25.3
12.4	16.3	30.1	24.9
1.5	10.1	30.6	25.5
0.0	16.9	30.8	25.9
0.0	20.6	31.3	26.1
4.1	20.6	30.6	25.9
0.0	16.4	29.7	26.2
0.0	23.3	31.8	25.5
2.3	15.8	30.7	26.1
12.9	14.9	30.2	25.8
2.8	12.2	30.0	26.0
0.3	20.0	31.0	26.2
12.4	19.4	31.0	25.4
25.2	10.2	29.3	25.7
33.3	10.8	29.0	25.7
5.8	17.6	29.8	25.7
0.0	21.2	30.2	25.5
0.0	19.1	30.1	25.6
0.0	13.2	29.7	25.6
0.0	17.6	30.4	25.4
22.4	12.6	30.3	25.8
1.8	10.4	29.7	25.7
0.8	18.6	30.2	25.3
0.5	22.4	30.6	25.4
0.0	22.8	30.5	24.8
0.0	23.0	30.8	24.2
1.8	19.3	31.2	25.3
59.2	13.9	30.6	25.9
2.8	21.9	30.4	26.3
0.0	6.7	29.9	26.1
0.8	17.2	29.6	26.6
14.0	19.5	29.8	26.0
1.8	20.1	30.7	26.2
54.4	19.4	30.1	25.8
17.3	13.9	28.9	25.2
0.0	17.0	27.8	25.3
17.8	14.3	28.6	25.9
25.2	13.1	28.7	25.6
20.1	19.4	29.5	25.5
33.3	9.3	29.1	25.8
16.5	12.9	28.3	25.9
36.1	15.6	28.4	26.0
47.0	15.9	29.0	25.7
17.0	20.0	29.5	25.7
3.1	14.3	28.7	26.0
0.0	16.5	28.6	26.3
10.7	16.4	29.5	26.3
5.6	15.6	28.6	26.5
4.6	18.2	29.2	26.2
34.5	13.2	28.4	25.9
40.6	10.3	27.6	25.4
22.9	13.2	27.5	24.8
6.6	15.7	28.0	24.8
2.8	18.3	29.1	24.8
26.4	14.4	27.4	25.1
2.3	19.7	27.0	24.9
4.7	18.5	28.5	25.0
0.0	18.9	29.1	25.1
28.2	15.5	28.4	25.8
13.2	14.8	27.9	25.7
26.2	18.8	28.2	25.1
5.1	12.9	27.5	24.9
8.6	11.9	27.7	25.2
0.0	17.5	27.5	25.0
0.0	15.7	27.5	25.7
9.6	20.7	27.5	25.3
7.4	17.6	27.4	24.9
2.3	20.1	28.7	25.2
42.7	14.0	27.2	25.2
7.4	22.6	28.5	24.9
0.0	21.2	29.6	25.3
0.0	21.9	28.1	25.5
8.4	21.4	29.4	25.3
54.4	17.0	27.5	24.8
36.3	12.9	26.6	24.7
38.9	17.7	27.2	25.1
51.6	15.4	27.7	25.2
6.2	13.2	27.3	24.8
17.0	20.8	27.1	24.6
5.1	17.7	28.1	25.0
9.4	16.2	28.9	25.2
39.1	13.5	28.9	24.6
19.8	20.7	29.0	25.2
3.1	18.0	28.9	25.1
7.4	20.4	27.8	25.5
19.6	16.7	28.6	25.2
3.0	20.6	29.0	25.4
17.0	15.4	29.1	25.5
20.3	12.9	28.5	25.3
26.9	18.2	28.7	24.9
23.4	14.3	28.0	25.2
28.2	13.7	27.6	25.4
7.6	15.6	27.9	25.6
2.5	19.6	29.6	25.3
0.0	21.7	28.5	24.7
0.0	20.8	29.1	24.5
7.9	21.8	28.9	24.4
7.4	17.6	28.7	24.7
2.3	22.2	28.8	24.8
3.0	19.5	29.3	24.8
0.0	22.0	29.4	25.2
1.8	21.2	29.4	25.4
1.8	21.5	28.2	24.9
0.0	15.1	28.7	25.3
0.0	22.0	28.3	25.4
0.0	19.6	29.7	24.8
10.9	16.1	29.5	25.3
46.2	15.4	29.0	24.8
31.2	19.6	28.4	24.9
0.0	18.6	29.4	25.3
55.6	19.8	28.6	25.6
8.9	19.1	28.3	25.6
27.7	12.4	27.6	25.4
1.8	16.7	28.0	24.9
0.0	15.7	28.3	24.8
0.0	16.8	29.5	24.9
11.4	22.1	28.1	25.7
0.0	22.7	28.7	25.2
0.0	20.0	29.3	25.0
0.0	18.7	28.2	25.7
42.4	11.0	28.3	25.6
27.2	16.4	27.6	25.0
41.2	18.7	27.5	24.7
10.2	17.2	27.9	25.1
18.5	22.4	28.6	25.6
40.6	21.3	28.6	25.2
